European,Canadian,Japanese,6.19,5.49,4.79,Rich full bodied,Regular,Crisp and clear,Strong,Mild,Very mild,Full,Regular,Low,Six 12Oz Large,Six 12Oz Small,Four 16Oz,Green Label,Brown Label,Brown Painted
16,1,0,1,0,10,11,0,11,1,6,0,0,26,10,17,11,0,0,13,15
15,0,16,0,7,14,4,0,9,0,23,7,22,4,0,13,0,6,3,0,2
1,29,0,0,7,1,1,3,0,13,0,4,0,22,30,0,7,13,6,0,5
0,17,4,0,14,7,0,3,12,0,7,4,0,10,15,10,0,19,1,0,16
17,0,7,9,0,4,11,0,17,0,19,8,10,0,15,17,0,0,1,5,0
1,0,10,0,20,1,1,0,0,25,22,0,8,9,0,0,6,1,30,2,0
15,0,16,2,0,0,13,0,12,0,22,2,13,0,9,25,0,14,9,0,3
0,21,3,0,9,6,3,0,9,1,0,0,0,25,43,0,0,11,0,1,6
29,0,11,0,4,4,0,9,10,0,23,1,15,0,0,12,0,0,2,8,0
12,0,1,2,9,0,15,0,8,0,13,11,0,15,33,13,0,11,0,2,5
0,10,23,0,12,22,0,0,6,0,11,1,0,9,7,10,0,17,12,0,9
0,4,15,6,0,12,4,0,5,0,18,0,30,7,0,8,0,12,7,0,6
16,0,10,6,12,0,10,3,0,0,13,6,27,0,19,12,0,14,0,8,6
5,4,0,12,0,11,0,9,19,10,5,0,0,12,37,4,2,0,13,14,0
0,21,1,5,5,0,19,0,0,17,4,0,0,21,21,0,5,11,3,0,6
12,3,0,11,0,15,11,0,22,0,20,20,13,0,12,15,0,0,0,4,4
17,0,25,11,10,0,27,0,19,3,3,0,15,0,6,12,2,0,0,5,6
21,0,13,2,3,0,0,2,12,0,24,11,0,7,8,21,3,0,0,11,8
23,0,7,0,6,3,9,0,13,0,22,8,11,0,11,20,0,14,0,0,5
0,23,1,0,13,24,3,0,1,1,3,0,0,23,17,0,5,3,0,16,18
12,0,15,1,2,0,3,0,18,3,34,0,17,1,0,11,0,6,3,0,2
15,0,10,0,7,9,11,0,1,6,10,0,0,29,27,3,1,0,0,24,20
6,0,3,2,9,0,21,0,11,0,7,6,0,28,15,10,3,0,0,8,19
0,16,14,0,16,9,7,0,18,0,7,6,0,6,21,0,1,5,0,12,16
20,16,0,17,0,1,0,2,3,11,0,1,4,0,20,6,0,22,7,0,7
22,0,17,0,15,4,4,0,14,11,12,0,0,10,5,8,0,2,0,13,19
23,0,13,7,0,1,7,0,8,0,20,11,23,0,8,8,4,0,0,12,4
21,28,0,0,7,9,25,0,8,0,10,13,0,6,5,1,6,0,0,9,12
0,16,25,4,17,0,7,2,0,12,0,12,19,0,8,0,16,11,0,4,1
25,0,16,3,3,0,15,0,10,1,17,0,22,0,10,10,0,14,0,0,4
15,0,8,8,0,0,43,0,14,0,3,7,0,0,13,6,5,0,0,9,5
14,0,22,10,7,0,39,0,13,5,0,5,4,9,0,0,5,4,5,0,10
24,0,12,3,0,4,40,0,4,0,9,13,0,3,6,9,0,8,3,0,4
15,0,16,11,7,0,14,0,22,0,9,1,22,7,0,7,0,2,0,0,12
20,0,13,0,4,5,4,0,13,0,21,4,16,0,4,19,0,0,0,8,5
19,0,12,11,7,0,11,0,19,0,10,6,1,0,19,12,0,3,0,9,8
1,6,0,0,18,5,7,0,9,0,14,7,2,0,21,15,0,7,17,1,0
0,10,13,24,0,7,0,18,13,7,0,10,10,0,12,17,0,0,5,7,0
0,11,1,0,2,0,21,0,5,6,19,0,0,4,19,0,3,8,0,19,13
0,25,13,4,0,18,0,7,0,0,10,8,0,16,11,0,4,14,10,0,4
6,15,0,16,21,0,21,8,0,1,18,0,3,12,0,1,0,6,3,0,8
14,0,14,0,6,12,4,0,11,0,26,11,19,2,0,15,0,5,3,0,2
1,16,0,0,38,36,3,0,2,0,2,6,6,5,0,15,0,13,11,0,16
3,0,2,0,9,1,0,15,31,17,16,0,10,0,2,10,12,0,0,19,13
0,5,15,4,18,0,0,1,3,0,1,7,21,0,32,4,0,11,0,14,10
17,9,0,0,9,12,47,0,10,0,10,7,0,0,4,6,7,0,1,3,0
16,0,0,5,3,0,23,0,14,0,17,14,4,0,23,9,0,3,0,8,4
0,2,4,0,5,4,49,0,13,3,9,0,0,17,9,4,3,0,0,6,11
21,14,0,11,0,2,19,0,21,0,20,3,8,0,5,10,0,8,8,0,8
28,0,24,2,2,0,0,3,10,12,10,0,3,0,12,23,0,11,0,13,12
32,0,36,4,0,4,10,1,0,17,13,0,10,0,5,18,0,8,3,6,0
23,0,19,0,3,1,3,0,12,0,26,15,19,0,2,10,0,3,0,6,7
13,0,3,0,1,13,7,0,13,0,13,0,0,20,16,18,0,8,11,0,7
16,0,10,4,2,0,20,0,20,0,25,10,12,0,16,17,0,9,0,1,3
7,1,0,8,0,3,23,0,25,0,21,7,22,0,1,7,4,0,0,8,11
10,0,15,0,13,0,0,1,7,0,6,0,0,16,24,10,0,4,0,24,25
16,0,13,0,1,10,17,0,5,0,17,13,16,0,5,16,5,0,6,8,0
26,0,19,0,2,1,0,12,16,0,19,7,18,0,10,16,0,9,0,3,0
0,30,10,0,5,14,14,0,10,4,5,0,0,16,23,2,0,7,7,0,4
11,0,3,0,0,3,12,0,18,0,21,5,26,0,17,19,0,9,3,1,0
9,0,17,4,15,0,12,5,0,0,18,20,0,23,11,0,6,7,0,0,6
16,0,22,1,0,8,40,5,0,2,0,2,0,3,3,8,0,18,2,0,6
0,12,12,0,10,6,22,3,0,11,0,11,6,3,0,0,31,20,9,4,0
7,15,0,16,0,15,0,7,5,4,0,8,19,0,0,7,6,0,28,5,0
15,0,7,0,1,0,40,0,7,0,19,12,15,0,5,9,0,2,0,2,2
8,7,0,2,1,0,15,0,23,10,44,0,10,0,0,8,0,3,6,0,1
19,0,12,0,2,5,9,0,18,0,23,8,21,0,3,11,3,0,2,2,0
5,15,0,0,11,4,0,2,18,3,0,5,0,9,23,19,0,4,0,9,3
16,0,11,10,0,16,5,12,0,1,2,0,0,20,11,24,0,16,0,6,11
7,0,13,25,18,0,4,2,0,0,2,4,21,15,0,18,15,0,10,16,0
18,0,7,3,8,0,4,0,7,0,20,14,16,0,15,22,0,5,9,2,0
3,0,0,5,0,6,44,0,9,20,13,0,5,0,6,8,0,6,0,14,14
5,13,0,0,5,3,11,0,19,0,19,23,0,6,27,5,3,0,0,8,6
0,17,6,6,0,0,20,0,4,10,0,5,0,13,26,0,4,16,3,0,6
0,5,1,2,9,0,5,0,24,11,25,0,18,0,9,17,0,1,0,0,2
0,27,0,0,8,19,6,0,1,0,11,10,0,12,10,0,9,16,0,3,10
0,0,2,0,12,10,12,0,11,1,13,0,37,16,0,9,4,0,10,15,0
0,25,11,4,8,0,5,4,0,22,0,7,0,18,19,0,16,17,0,1,5
23,0,26,8,0,9,26,2,0,16,13,0,8,0,3,0,0,5,10,7,0
20,0,20,0,0,7,5,0,10,0,28,9,20,3,0,11,0,1,3,2,0
14,10,0,0,10,10,11,1,0,0,10,25,0,4,1,12,0,4,0,14,23
18,12,0,0,2,13,0,0,12,6,1,0,0,26,8,12,10,0,0,6,12
42,0,34,4,0,7,0,2,2,12,8,0,1,0,11,14,0,9,0,11,4
15,8,0,0,3,5,9,0,19,9,24,0,16,0,3,8,0,8,14,0,6
19,13,0,5,0,5,35,0,6,0,0,1,5,0,14,0,0,5,0,20,11
21,7,0,0,2,4,9,0,17,1,6,0,0,22,9,9,6,0,0,12,21
19,0,9,1,1,0,22,0,11,0,22,8,22,0,8,12,0,7,0,1,3
13,4,0,0,20,0,29,0,18,0,4,4,3,6,0,0,24,8,4,0,4
7,5,0,9,9,0,8,0,14,16,22,0,21,0,8,19,0,15,4,0,9
24,0,17,31,0,8,3,2,0,1,8,0,6,0,2,0,12,1,3,16,0
14,0,7,0,0,1,24,0,12,0,21,5,21,0,8,16,0,11,2,0,3
13,0,12,1,0,1,8,0,24,0,20,20,22,0,25,11,1,0,7,5,0
13,5,0,19,8,0,5,0,9,0,9,12,7,0,28,16,0,12,3,0,0
0,10,18,0,11,21,3,0,10,0,12,0,0,12,7,11,0,16,7,0,12
14,0,11,0,10,11,5,0,10,0,25,14,24,1,0,14,0,4,2,0,3
0,4,10,0,3,20,4,0,18,0,18,0,0,7,11,16,0,12,7,0,5
4,0,13,7,0,12,5,0,16,10,17,0,5,0,12,6,0,16,11,0,13
0,3,3,0,0,15,44,0,11,4,11,0,6,6,0,6,0,9,10,0,8
19,0,13,0,2,5,0,5,14,0,25,13,20,5,0,12,0,2,0,2,5
18,0,23,0,5,5,0,4,4,9,4,0,0,35,26,3,0,1,0,18,20
8,0,10,0,16,7,8,0,10,6,0,7,3,15,0,35,21,0,8,0,0
18,0,13,0,0,6,4,0,8,0,26,14,27,0,8,10,0,4,4,4,0
17,0,12,2,3,0,8,0,16,2,22,0,20,0,10,19,0,8,2,0,4
10,0,13,0,2,0,23,0,8,0,18,10,30,0,13,12,0,6,3,2,0
19,3,0,0,20,19,0,4,2,0,9,0,5,0,4,14,0,2,0,29,26
6,1,0,12,5,0,13,0,21,14,23,0,20,0,13,10,0,12,2,0,6
0,2,1,15,18,0,30,3,0,0,15,9,11,9,0,0,0,6,18,0,10
17,0,20,4,5,0,12,0,10,0,18,4,17,0,10,23,0,12,4,0,3
17,1,0,12,8,0,13,0,7,0,14,12,4,0,27,13,0,8,3,4,0
0,24,26,4,3,0,23,0,4,0,9,16,5,15,0,0,3,4,5,0,13
13,0,19,0,18,2,1,1,0,0,11,2,0,18,15,9,0,3,0,22,24
0,0,2,0,13,10,0,1,4,3,11,0,0,34,16,0,3,6,0,20,30
0,1,8,7,10,0,18,0,3,8,16,0,32,0,10,12,0,10,0,3,3
16,7,0,0,4,9,15,0,16,0,26,11,22,5,0,5,0,1,4,0,5
32,0,20,0,7,3,0,3,11,2,16,0,0,8,5,10,0,1,0,16,16
4,12,0,0,16,8,6,0,25,0,9,12,0,3,26,0,1,4,4,0,5
10,29,0,2,0,7,2,4,0,7,0,3,0,12,15,0,15,24,0,8,15
12,0,8,6,6,0,38,0,4,0,3,11,0,13,9,7,0,8,3,0,12
8,0,11,0,23,9,5,0,7,1,4,0,0,21,4,18,0,16,0,17,12
0,9,3,0,13,9,18,0,6,0,2,5,0,7,27,9,0,18,0,4,11
19,0,13,0,9,3,4,0,15,4,15,0,0,10,1,13,0,1,0,10,18
21,0,8,0,2,13,9,0,9,0,22,17,21,0,3,11,0,2,0,2,2
0,0,4,0,1,4,37,0,0,0,8,14,0,14,9,6,0,11,15,0,11
0,13,27,3,9,0,0,5,0,17,0,20,0,15,29,3,0,7,4,0,2
25,31,0,0,10,11,7,0,13,0,13,13,10,2,0,1,7,0,0,10,15
15,24,0,0,13,17,17,0,9,0,10,19,15,0,0,2,2,0,4,0,7
8,0,18,0,16,0,3,0,10,0,6,0,0,10,12,13,0,5,0,19,25
21,0,5,0,0,2,3,0,14,0,22,10,17,8,0,17,2,0,0,1,6
19,32,0,0,5,8,16,0,11,0,11,4,0,8,6,0,7,12,0,3,14
8,17,0,0,7,14,12,0,8,0,10,10,0,13,5,0,9,2,0,21,25
20,26,0,0,8,12,25,0,6,0,14,17,4,2,0,0,8,9,0,1,8
2,5,0,0,2,8,23,0,5,0,6,14,0,8,0,20,0,17,0,3,22
7,0,13,12,12,0,10,0,14,0,18,17,0,0,21,17,0,0,3,4,0
7,0,11,3,0,4,9,0,20,8,27,0,16,0,4,16,0,12,6,0,5
4,0,9,0,11,9,0,0,12,0,9,1,28,3,0,13,1,0,17,12,0
19,0,6,14,5,0,3,0,9,0,9,5,8,0,25,18,0,8,0,5,1
20,0,15,0,0,4,2,0,11,0,17,7,23,0,9,23,0,6,0,1,0
1,0,3,13,0,37,11,4,0,0,16,4,6,4,0,0,10,24,0,4,1
3,5,0,15,0,18,0,13,6,14,0,15,8,22,0,5,0,14,0,5,12
21,19,0,0,1,14,10,0,10,0,22,25,15,3,0,2,6,0,0,7,8
0,14,0,0,13,8,8,0,11,0,4,0,0,17,3,0,18,16,22,0,23
10,1,0,13,9,0,5,0,14,0,9,1,0,3,34,20,0,15,0,0,1
19,0,19,9,11,0,0,8,17,5,0,0,3,0,15,0,9,21,0,11,8
0,15,19,0,20,19,0,11,5,0,9,13,0,16,17,1,0,10,0,4,10
12,0,13,0,11,1,0,11,10,0,0,6,8,14,0,37,16,0,7,2,0
0,8,2,0,29,20,3,0,10,0,9,5,6,0,2,23,0,14,7,0,14
16,0,14,0,1,9,9,0,13,0,29,11,21,2,0,10,0,1,1,1,0
15,0,7,0,7,0,11,0,19,0,17,1,15,0,10,22,0,3,4,0,1
3,0,9,0,20,13,0,0,8,0,13,2,0,19,11,12,0,7,0,9,18
13,0,24,0,13,3,0,0,2,6,6,0,0,15,12,13,0,7,0,21,27
0,13,9,0,9,16,6,0,13,0,20,13,0,17,9,2,0,7,7,0,12
8,0,10,34,0,17,0,0,10,7,0,6,0,17,3,9,18,0,5,4,0
22,0,14,11,4,0,9,0,8,0,20,9,20,0,4,6,1,0,0,13,9
6,5,0,6,5,0,49,0,18,2,17,0,13,0,2,0,8,6,2,0,0
11,7,0,1,0,4,45,0,15,0,11,10,0,7,14,8,5,0,0,8,7
16,0,5,4,0,3,13,0,14,0,22,11,0,1,14,23,0,8,0,6,7
19,5,0,4,13,0,5,0,6,0,15,10,5,0,28,8,0,1,0,12,3
10,19,0,0,11,15,19,0,10,5,6,0,0,16,17,5,0,3,0,14,20
0,4,10,0,17,14,2,0,6,11,17,0,0,18,10,13,0,14,0,6,18
12,0,14,6,1,0,17,0,23,2,20,0,22,0,2,6,0,7,0,1,8
0,17,1,0,5,0,7,13,0,23,0,4,0,28,25,0,10,13,0,0,2
12,0,10,11,0,11,0,5,20,7,16,0,22,0,11,12,0,3,7,5,0
19,0,4,16,6,0,21,4,0,0,3,5,11,0,6,0,17,8,0,11,0
1,5,0,4,0,2,34,4,0,14,5,0,0,24,25,9,0,2,9,2,0
7,7,0,0,8,9,5,0,17,6,22,0,15,3,0,15,0,9,14,0,9
5,0,4,7,0,11,35,0,18,0,5,10,6,0,13,6,0,15,7,0,10
16,0,10,0,3,0,24,0,31,0,20,20,16,0,23,1,0,0,0,3,4
24,0,13,5,0,1,7,0,10,0,15,11,28,0,21,9,0,1,2,9,0
0,23,2,0,20,15,0,2,8,0,2,17,1,0,10,0,2,7,0,8,16
18,0,7,2,0,2,16,0,18,0,23,10,15,0,1,20,0,3,1,0,5
9,11,0,10,0,16,0,6,11,0,17,18,0,14,1,15,0,10,0,1,16
5,0,1,0,8,6,6,0,19,3,11,0,0,8,39,9,0,10,0,7,4
25,0,30,5,0,4,0,3,4,15,16,0,25,0,9,14,0,12,0,6,3
0,10,16,8,16,0,3,8,0,12,0,5,0,10,23,0,5,13,0,12,12
22,0,14,1,0,2,4,0,9,15,22,0,20,0,4,19,0,13,6,0,3
0,21,3,4,5,0,0,6,2,19,0,13,0,24,29,0,9,14,4,0,6
0,14,13,0,5,21,1,0,8,6,11,0,0,20,12,8,0,14,13,0,10
12,0,0,8,0,9,6,0,5,0,24,8,26,0,9,9,0,10,13,2,0
17,0,9,0,7,3,23,0,8,0,19,11,22,0,3,10,0,2,0,1,2
0,0,11,7,0,11,0,22,23,12,0,8,4,0,20,16,0,5,0,8,0
15,0,0,1,0,4,0,1,13,0,20,9,21,7,0,22,4,0,0,3,5
12,0,10,0,6,8,2,0,16,0,23,4,16,0,8,20,0,2,5,3,0
3,0,12,0,9,12,43,0,24,0,20,15,1,0,2,0,5,4,3,0,5
24,0,17,1,0,4,12,0,11,0,21,13,18,2,0,18,0,2,0,1,3
15,0,0,6,0,0,41,0,3,0,3,3,0,11,11,10,1,0,0,12,13
